id;company_no;en_name;ch_name;tel;addr;email;people_name
1;北路;benchmark;Loan payment;transparent 東路;Generic Customizable International;偉祺_石8@gmail.com;Executive Analyst
2;optical Integrated;Steel Corporate enable;Automotive;Martinique Quality e;Central standardization;健雄_賀66@hotmail.com;withdrawal
3;deposit;Franc tan Computer;Turkmenistan;Graphic Account;viral;雨澤.宋@yahoo.com;Shoes Investment 路
4;Car;Bacon architectures;invoice Borders composite;街;maroon Bolivia;子涵86@yahoo.com;Quality Sausages
5;Montserrat redundant;payment 路;Borders Customizable;array transmit;RAM synthesize bypassing;明軒_馮29@hotmail.com;北路 interface
6;Executive;Berkshire Toys;tan;product clicks-and-m;福建省;文博61@hotmail.com;Frozen 台灣省 Account
7;Refined paradigms pr;Shirt;Tunisian green streamline;Tasty responsive;Generic content-based;偉宸_龍@yahoo.com;Account
8;Granite;purple red;Focused;東路 Fantastic Object-;Operations;明輝.何@hotmail.com;out-of-the-box copy
9;Cotton;Checking;FTP Fish;digital 東路;transmitter Gorgeous;楷瑞6@hotmail.com;Integrated
10;bypassing ROI;Intranet 福建省;transmitting driver generating;Bedfordshire methodo;Internal deliver;哲瀚.杜@hotmail.com;Generic Metal
