id;cerf_no;cerf_ver;area_cd;appl_id;cerf_tag;std_no;std_ver;sts_cd;lst_mtn_usr;lst_mtn_dt
1;clicks-and-mortar;real-time;systemic ADP;Salvador;application next-generation International;compelling RSS directional;content Buckinghamshire challenge;Bahraini;Awesome;2023-03-16
2;monitor interactive Music;台灣省 auxiliary;Senior 福建省;北路;interfaces Bacon solution;Seychelles;deposit Argentina web-enabled;Investor Cotton;optimize;2023-03-15
3;Jamahiriya integrate Franc;connecting attitude Associate;Pataca compressing aggregate;Platinum;台灣省;index Belarus synthesize;Soap Cambridgeshire;deposit mobile client-driven;Assurance Dobra Guatemala;2023-03-15
4;background;Account generate;cross-platform;Car Group;Rubber Account;南路 programming;Soft HDD;impactful;Borders mobile 路;2023-03-15
5;Tasty Investment Quality;upward-trending schemas;asynchronous;Lesotho;Implemented Account;generate Sports;up Extended parse;Unbranded Concrete JBOD;Frozen Loan;2023-03-16
6;Home 福建省 purple;Plastic;Shoes;Chips monetize alarm;Global;Account;SMS redundant;Toys Solutions;incubate deposit Architect;2023-03-16
7;interface Bolivar Tasty;Supervisor Books bypassing;Awesome Response compressing;PCI;Uganda Martinique 福建省;Intranet 福建省 human-resource;bandwidth FTP;Oman Shirt;neutral synthesizing;2023-03-15
8;Checking;Bedfordshire Electronics;Music mesh paradigms;Human Salad ROI;Movies Automotive withdrawal;Ruble parsing;online bypass;Beauty asymmetric;Cloned;2023-03-15
9;Account frictionless Credit;台灣省;methodical Generic;Bedfordshire Towels;Sausages deposit;Diverse;Personal;grow e-tailers COM;evolve;2023-03-15
10;task-force;initiative Berkshire;台灣省 台灣省;cyan;Account integrate Account;Awesome intangible;Cambridgeshire calculating;sky Technician bus;Re-engineered deposit;2023-03-15
