id;cerf_no;cerf_ver;cerf_tag;area_cd;appl_id;sts_cd;fee_cd;fee_dt;fee;curr;lst_mtn_usr;lst_mtn_dt
1;encoding Silver;Rustic transmit;multi-byte transmit paradigms;program;Health;extensible Handcrafted Steel;福建省;2023-03-16;39991;Emirates;Integration;2023-03-16
2;Jewelery synthesize;Brand Malaysian mission-critical;Shoes facilitate payment;Organic Specialist;Rupee 福建省;Bahraini Avon virtual;Soft sexy transmit;2023-03-16;25346;Liaison Seamless Security;Bedfordshire Integrated Awesome;2023-03-15
3;generate action-items;Computers Administrator;regional;Savings Toys feed;deposit Grocery hub;bus input Kwanza;program Profit-focused orange;2023-03-16;61286;black 福建省 haptic;FTP B2C Bhutan;2023-03-15
4;Automotive one-to-one;Tactics Incredible Reactive;Corporate deposit;Automotive reintermediate;AGP Unbranded;microchip 西路;panel;2023-03-16;41474;SAS Response Principal;Administrator Ball 街;2023-03-16
5;Fantastic proactive Avon;turquoise;ROI projection analyzing;pink;Sleek Factors;capacitor Grocery generating;Switchable 南路;2023-03-16;79453;Implementation fuchsia Handcrafted;Rupiah;2023-03-16
6;function 台灣省 yellow;Dynamic Investor exuding;Handcrafted;福建省 Berkshire;Metal Gloves;mobile Forward bleeding-edge;台灣省;2023-03-15;12335;payment Functionality;gold Won;2023-03-16
7;SCSI redundant Plastic;payment Branding;街;indexing Home Lithuanian;南路 Burundi Granite;magenta proactive array;explicit;2023-03-16;31127;calculate SMS Vision-oriented;Executive Won;2023-03-16
8;Rwanda payment Cambridgeshire;Mouse Outdoors Specialist;Coordinator Inverse next-generation;Pound;e-services;generation dynamic;IB relationships Response;2023-03-15;38279;incremental;Bacon;2023-03-15
9;program Solutions;街;ability supply-chains AGP;virtual Reverse-engineered copy;Enhanced;Madagascar;Intranet system-worthy;2023-03-15;90030;Reactive transmitter Litas;systems;2023-03-16
10;Market redundant;Small;e-business access Pataca;withdrawal primary Lempira;copying Senior;invoice;Buckinghamshire enterprise quantify;2023-03-16;11419;Bedfordshire yellow Jewelery;Avon;2023-03-15
