id;uni_no;mnfctr_nm_en;mnfctr_nm_ch;contact;eamil;addr;tel;lst_mtn_usr;lst_mtn_dt
1;Multi-channelled;reintermediate;Facilitator salmon;generate Interactions clear-thinking;TCP;Games;Soft;support tan circuit;2023-03-16
2;福建省 Director;reboot Awesome;website synergies clicks-and-mortar;Riel Buckinghamshire;Soft Hryvnia Principal;Sports;index 福建省;Berkshire;2023-03-15
3;generating Principal Tasty;fuchsia Licensed;wireless deposit;e-enable Bedfordshire 西路;Verde Metal Shoes;Salad Leone;strategize Branding Bacon;synergies 東路;2023-03-15
4;generate Borders niches;Handcrafted;Secured coherent;Integration HTTP;mindshare panel 台灣省;program lime;bandwidth;Communications;2023-03-15
5;redundant;synergies Towels;Licensed parse;HDD;Identity Integration 台灣省;turquoise;福建省 Global IB;yellow orchid;2023-03-15
6;Steel Tuna JSON;neural Outdoors Account;digital connecting Tools;ability PCI visualize;high-level deposit blue;Finland;monitor;Customizable;2023-03-16
7;Interface invoice TCP;Savings Architect deposit;calculating Agent;monetize Regional;Dirham;福建省;Account;back Brazil;2023-03-16
8;路 台灣省 路;composite Ireland;Music deposit;Kids;overriding driver;engage dynamic;Checking;西路;2023-03-16
9;Future Cambridgeshire Chief;deposit Operations;clicks-and-mortar;array Car Account;Buckinghamshire;Accountability Netherlands Tuvalu;Euro;state teal;2023-03-16
10;Consultant;composite Specialist;systemic Fresh transmitting;deposit neural Borders;synergistic;Cheese Beauty;Myanmar;Product Niue 福建省;2023-03-15
