id;prod_id;mnfctr_id;cerf_no;cerf_ver;appl_id;area_cd;cerf_tag;sts_cd;lst_mtn_usr;lst_mtn_dt
1;Persistent Frozen port;bottom-line Serbia;generate Data Electronics;Tasty Mobility;Frozen solution Electronics;payment evolve;Cross-group 街;mobile;Korea;2023-03-16
2;Tactics Future;Group 台灣省;Checking Intelligent 台灣省;Borders;Account program;Orchestrator Concrete;西路;Tasty maroon Fish;synergies Borders Analyst;2023-03-16
3;Soft;capacitor strategize;Assistant ivory;Poland;deposit Tuvalu;invoice Generic Automotive;synergize optimizing;SMS port;Bacon program Agent;2023-03-16
4;Wooden;Intuitive Optional 5th;Fish navigate Car;bandwidth syndicate;base;福建省 福建省;Graphic;Polarised Fantastic Islands,;Concrete;2023-03-15
5;bifurcated software;mobile;Concrete Table Cotton;out-of-the-box 西路 Ball;南路;initiatives Iranian;Fantastic solution;Senior;markets Chips Shoes;2023-03-15
6;Sleek maroon Practical;Manager rich Planner;Berkshire Senior transmitting;blue;Rubber sexy Gloves;gold;Buckinghamshire teal;Buckinghamshire;Grocery Intelligent Berkshire;2023-03-16
7;AI Salad superstructure;Wooden;Directives Account Berkshire;evolve Plastic;engine 街 福建省;relationships Licensed Usability;Cloned;withdrawal transform Shirt;Pound Health withdrawal;2023-03-16
8;Bedfordshire Sao 台灣省;Officer Senior Mandatory;logistical 福建省;bypass revolutionary;digital;Liaison Dollar Response;Supervisor;Fresh Rustic;西路;2023-03-16
9;台灣省 calculate;Concrete Rustic Practical;Pakistan;Plastic compressing Avon;Credit;copy protocol Bedfordshire;Palladium;Outdoors bypassing contextually-based;Dynamic and;2023-03-16
10;Computers;Wooden;bandwidth;Dollar Cotton;Handcrafted;neural global;街;Facilitator Account;Graphic;2023-03-15
