id;prod_id;mnfctr_id;std_no;std_ver;sts_cd;fee_cd;fee_dt;fee;curr;lst_mtn_usr;lst_mtn_dt
1;District SMS Steel;南路 Romania;synthesize Kids Analyst;Borders auxiliary;copy Clothing;indigo Automotive;2023-03-16;31609;Shoes;Auto circuit;2023-03-16
2;Andorra Auto Horizontal;Integration;Forint Auto 24/7;compress;Bacon;magenta;2023-03-15;99545;PNG National parse;Licensed;2023-03-16
3;navigate;blue;Thailand;payment blue;invoice;engineer;2023-03-15;67179;program Product 南路;open-source uniform;2023-03-16
4;copying bypassing;Tuna 台灣省 synthesize;Lead;Strategist;matrix interface Frozen;Product Innovative;2023-03-16;39563;Mouse;interactive pink;2023-03-16
5;Program Cotton Tasty;Refined;revolutionize GB;Internal;Gorgeous;International withdrawal;2023-03-15;9470;digital Hat array;teal payment;2023-03-16
6;Supervisor Plastic;Account Tasty Lithuania;integrated;台灣省;Orchestrator European;Bike calculating withdrawal;2023-03-15;6565;Palestinian next-generation Tuna;withdrawal lavender empowering;2023-03-16
7;Product 福建省;Direct;networks Accountability firewall;maximize;Costa;channels interface Sausages;2023-03-16;49686;models Borders secondary;payment AI;2023-03-16
8;Tasty programming;next-generation transmit;olive B2B Supervisor;Cambridgeshire;multi-byte systems;東路;2023-03-16;8656;virtual functionalities 福建省;台灣省 TCP;2023-03-16
9;Salad;台灣省 Shirt deliver;mission-critical Agent Investor;Jewelery Web Supervisor;green hack Salad;西路;2023-03-16;59986;Branding synthesize XSS;engineer facilitate;2023-03-16
10;Gorgeous synthesizing;Human Concrete;back-end Cross-platform array;Central Rupee;digital Pants Savings;Units;2023-03-16;39887;Gambia revolutionize;challenge Checking mobile;2023-03-15
