id;std_no;std_ver;en_name;ch_name;status;issu_dt;exp_dt
1;Granite architectures invoice;bypassing payment;Frozen;copy connecting;feed Produ;2023-04-01;2023-04-02
2;Savings Aruban overriding;Multi-layered Research Games;Salvador;Romania;Optimizati;2023-04-02;2023-04-01
3;Markets Tools;Director revolutionize payment;Granite;firewall;Handmade h;2023-04-01;2023-04-01
4;Visionary schemas;台灣省 Buckinghamshire;Accountability Shoes Integrated;Tools;Salad AGP ;2023-04-02;2023-04-01
5;Devolved National;Accountability panel Beauty;Bacon Integrated blockchains;e-enable;Macao comp;2023-04-01;2023-04-01
6;Soft;niches purple parse;optimal Architect pink;Group mobile 路;PCI conten;2023-04-01;2023-04-01
7;Chicken;Plastic;Central connecting 1080p;Jewelery data-warehouse wireless;Customer S;2023-04-01;2023-04-01
8;Baby;Gorgeous;Plastic Unbranded;Account;bypassing ;2023-04-02;2023-04-01
9;Coordinator;Gloves Multi-layered;haptic leverage synergistic;Rustic overriding Down-sized;copying mu;2023-04-01;2023-04-01
10;HTTP e-services;Cambridgeshire Security;Metal GB 台灣省;Planner Ergonomic 福建省;Account se;2023-04-01;2023-04-01
