id;cerf_no;cerf_ver;fee_cd;fee_desc;fee;area_cd;area_desc;sts_cd;sts_desc;appl_id;mnfctr_nm_ch;prod_id;mnfctr_id;fcty_id
1;Computer Concrete wireless;台灣省 compressing Human;Mouse;../fake-data/blob/hipster.txt;81505;dot-com;../fake-data/blob/hipster.txt;Generic;../fake-data/blob/hipster.txt;Gloves quantify;overriding Account Pizza;navigate orchestrate;tolerance mobile Tasty;Personal Executive
2;Marketing;envisioneer;Soft;../fake-data/blob/hipster.txt;16028;AI;../fake-data/blob/hipster.txt;end-to-end green;../fake-data/blob/hipster.txt;Tugrik Metrics withdrawal;Streamlined Computers 福建省;北路 Avon Concrete;pixel visualize Implementation;Research
3;green South;teal Salad Money;Legacy application;../fake-data/blob/hipster.txt;55287;optimize;../fake-data/blob/hipster.txt;Denar;../fake-data/blob/hipster.txt;matrix framework;1080p back-end Corporate;reinvent primary Metal;e-business radical;Steel silver
4;connecting;西路 Account;Lek 台灣省 Market;../fake-data/blob/hipster.txt;41409;enterprise fuchsia Granite;../fake-data/blob/hipster.txt;JSON;../fake-data/blob/hipster.txt;福建省 Cambridgeshire;Right-sized Lev;Accounts;Rustic;Burundi distributed
5;Unbranded Chicken;withdrawal background;Liaison Tuna;../fake-data/blob/hipster.txt;32159;deliverables FTP;../fake-data/blob/hipster.txt;Multi-layered;../fake-data/blob/hipster.txt;reintermediate;envisioneer 路 programming;blue;Baby back-end olive;magenta Phased Avon
6;Account firewall;Clothing Music;Mouse Chair;../fake-data/blob/hipster.txt;25204;impactful;../fake-data/blob/hipster.txt;Dynamic Borders;../fake-data/blob/hipster.txt;Implementation;Orchestrator;interfaces;conglomeration;Account Outdoors
7;Operations 西路;cross-platform International;Sports;../fake-data/blob/hipster.txt;62041;open-source;../fake-data/blob/hipster.txt;heuristic;../fake-data/blob/hipster.txt;Agent Agent Account;invoice Vision-oriented;Grocery Bike Steel;synthesizing Security Auto;Rubber Brunei
8;leading-edge optical standardization;invoice Brunei;Proactive circuit;../fake-data/blob/hipster.txt;43858;models panel;../fake-data/blob/hipster.txt;Designer Bedfordshire;../fake-data/blob/hipster.txt;Metal auxiliary;Operative;Computers Account program;incremental neural;Pizza
9;Borders Borders Islands;Division;incubate;../fake-data/blob/hipster.txt;2681;vortals Account Kiribati;../fake-data/blob/hipster.txt;Avon secondary;../fake-data/blob/hipster.txt;TCP 北路 core;Leu purple Bacon;navigating;index Buckinghamshire;Handmade
10;Distributed;synergize;cyan Practical Frozen;../fake-data/blob/hipster.txt;37000;Lebanon;../fake-data/blob/hipster.txt;台灣省 Avon Mouse;../fake-data/blob/hipster.txt;withdrawal;hard;relationships;Bacon Gorgeous;revolutionary
